"years","L.ht","M.ht","S.ht","L.wt","M.wt","S.wt","L.bmi","M.bmi","S.bmi","L.head","M.head","S.head","L.sitht","M.sitht","S.sitht","L.leglen","M.leglen","S.leglen","L.waist","M.waist","S.waist","L.bfat","M.bfat","S.bfat","sex"
-0.326,NA,NA,NA,1.181,0.5845,0.17211,NA,NA,NA,1,21.559,0.05522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.307,NA,NA,NA,1.161,0.695,0.17035,NA,NA,NA,1,22.704,0.05363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.287,NA,NA,NA,1.14,0.8067,0.16859,NA,NA,NA,1,23.787,0.05212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.268,NA,NA,NA,1.12,0.9216,0.1668,NA,NA,NA,1,24.815,0.05069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.249,NA,NA,NA,1.099,1.0419,0.16497,NA,NA,NA,1,25.792,0.04932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.23,NA,NA,NA,1.078,1.1705,0.16309,NA,NA,NA,1,26.717,0.04802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.211,NA,NA,NA,1.055,1.3105,0.16114,NA,NA,NA,1,27.591,0.04677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.192,NA,NA,NA,1.032,1.4645,0.15911,NA,NA,NA,1,28.42,0.04557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.172,NA,NA,NA,1.008,1.6352,0.15701,NA,NA,NA,1,29.21,0.04443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.153,NA,NA,NA,0.983,1.8227,0.15484,NA,NA,NA,1,29.952,0.04335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
-0.134,1,45.05,0.04139,0.957,2.0251,0.15261,0.22,9.465,0.10742,1,30.693,0.04227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
